title,genre,plot,image_url,director_year
Interstellar,Sci-Fi,A team of explorers travel through a wormhole in space to save humanity from environmental collapse. Explores concepts of time dilation gravity relativity and fatherhood.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,"Christopher Nolan, 2014"
The Hangover,Comedy,Three friends wake up from a wild bachelor party in Las Vegas with no memory of the night and a missing groom. Chaotic comedy ensues.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,"Todd Phillips, 2009"
The Conjuring,Horror,Paranormal investigators work to help a family experiencing terrifying dark entities and haunted houses.,https://images.unsplash.com/photo-1505635552518-3448ff116af3?w=500,"James Wan, 2013"
Inception,Sci-Fi Thriller,A skilled thief steals corporate secrets through dream-sharing technology inside multi-layered dream spaces.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,"Christopher Nolan, 2010"
Blade Runner 2049,Sci-Fi Noir,A young blade runner discovers a long-buried secret that leads him to track down former blade runner Rick Deckard.,https://images.unsplash.com/photo-1542204172-e7052809f85e?w=500,"Denis Villeneuve, 2017"
Drive,Crime Thriller,A Hollywood stunt driver who moonlights as a getaway driver finds himself in trouble when he helps his neighbor.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,"Nicolas Winding Refn, 2011"
La La Land,Musical Romance,A jazz pianist and an aspiring actress fall in love while navigating their creative ambitions and career struggles in Los Angeles.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,"Damien Chazelle, 2016"
The Dark Knight,Action Crime,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological tests of his ability to fight injustice.,https://images.unsplash.com/photo-1478760329108-5c3ed9d495a0?w=500,Christopher Nolan 2008
Pulp Fiction,Crime Drama,The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption.,https://images.unsplash.com/photo-1594909122845-11baa439b7bf?w=500,Quentin Tarantino 1994
Forrest Gump,Drama Romance,The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500,Robert Zemeckis 1994
Goodfellas,Biography Crime,The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=500,Martin Scorsese 1990
The Godfather,Crime Drama,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,https://images.unsplash.com/photo-1505635552518-3448ff116af3?w=500,Francis Ford Coppola 1972
Spirited Away,Animation Adventure,During her family move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Hayao Miyazaki 2001
Parasite,Thriller Drama,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://images.unsplash.com/photo-1535016120720-40c646be5580?w=500,Bong Joon Ho 2019
Whiplash,Drama Music,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student potential.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Damien Chazelle 2014
The Prestige,Drama Mystery,After a tragic accident two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Christopher Nolan 2006
The Departed,Crime Drama,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://images.unsplash.com/photo-1422360902398-0a91ff2c1a1f?w=500,Martin Scorsese 2006
Spider-Man Into the Spider-Verse,Animation Action,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://images.unsplash.com/photo-1635805737707-575885ab0820?w=500,Peter Ramsey 2018
The Lion King,Animation Adventure,A young lion prince is cast out of his pride by his cruel uncle who claims he killed his father. He grows up beyond the savanna before returning to reclaim his throne.,https://images.unsplash.com/photo-1546182990-dffeafbe841d?w=500,Roger Allers 1994
Joker,Crime Drama,A gritty character study of Arthur Fleck a man disregarded by society who unravels into a cruel criminal mastermind in Gotham City.,https://images.unsplash.com/photo-1534447677768-be436bb09401?w=500,Todd Phillips 2019
Alien,Sci-Fi Horror,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission on a distant planet.,https://images.unsplash.com/photo-1506703719100-a0f3a48c0f86?w=500,Ridley Scott 1979
The Thing,Sci-Fi Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims causing paranoia to rip through the crew.,https://images.unsplash.com/photo-1483168527879-c66136b56105?w=500,John Carpenter 1982
Coco,Animation Family,Aspiring musician Miguel confronted with his family ancestral ban on music enters the Land of the Dead to find his great-great-grandfather a legendary singer.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Lee Unkrich 2017
Get Out,Horror Mystery,A young African-American visits his white girlfriend parents for the weekend where his simmering uneasiness about their reception of him reaches a boiling point.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Jordan Peele 2017
Mad Max Fury Road,Action Sci-Fi,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners and a drifter named Max.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,George Miller 2015
The Grand Budapest Hotel,Comedy Drama,A writer relates his adventures at a renowned European resort between the first and second World Wars with a devoted concierge framed for murder.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=500,Wes Anderson 2014
Arrival,Sci-Fi Drama,A linguist works with the military to communicate with alien craftsmanship that have landed around the Earth before tensions lead to global war.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,Denis Villeneuve 2016
The Truman Show,Drama Comedy,An insurance salesman discovers his whole life is actually a reality television show broadcast to the entire world and plans his ultimate escape.,https://images.unsplash.com/photo-1626814026160-2237a95fc5a0?w=500,Peter Weir 1998
Fight Club,Drama Thriller,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into something much more dangerous.,https://images.unsplash.com/photo-1485846234645-a62644f84728?w=500,David Fincher 1999
Seven,Crime Thriller,Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives for his gruesome crimes.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,David Fincher 1995
Jurassic Park,Action Adventure,A pragmatic paleontologist visiting a secret theme park is tasked with protecting two kids after a power failure causes the park cloned dinosaurs to run loose.,https://images.unsplash.com/photo-1568515045052-f9a854d70bfd?w=500,Steven Spielberg 1993
Shutter Island,Mystery Thriller,In 1954 a US Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane on a remote wind-swept island.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Martin Scorsese 2010
Dunkirk,War Action,Allied soldiers from Belgium the British Empire and France are surrounded by the German Army and evacuated during a fierce battle in World War II.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Christopher Nolan 2017
Heat,Action Crime,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist scene.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Michael Mann 1995
Logan,Action Sci-Fi,In a future where mutants are nearly extinct an aging Logan leads a quiet life until a young mutant chased by dark forces arrives looking for protection.,https://images.unsplash.com/photo-1612036782180-6f0b6cd846fe?w=500,James Mangold 2017
Die Hard,Action Thriller,An NYPD officer tries to save his estranged wife and several others taken hostage by German terrorists during a Christmas party in a Los Angeles high-rise.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,John McTiernan 1988
No Country for Old Men,Crime Thriller,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,https://images.unsplash.com/photo-1478760329108-5c3ed9d495a0?w=500,Joel Coen 2007
The Silence of the Lambs,Crime Thriller,A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to catch another serial killer who skins his victims.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Jonathan Demme 1991
Prisoners,Crime Mystery,When Keller Dover daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and pressure mounts.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Denis Villeneuve 2013
A Quiet Place,Horror Sci-Fi,In a post-apocalyptic world a family is forced to live in absolute silence while hiding from monsters with ultra-sensitive hearing that hunt any sound.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,John Krasinski 2018
The Shining,Horror Drama,A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings.,https://images.unsplash.com/photo-1505635552518-3448ff116af3?w=500,Stanley Kubrick 1980
Hereditary,Horror Mystery,A grieving family is haunted by tragic and disturbing occurrences after the death of their secretive grandmother unraveling dark ancestral secrets.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Ari Aster 2018
The Exorcist,Horror,When a young girl is possessed by a mysterious entity her desperate mother seeks the help of two priests to save her daughter through an exorcism.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,William Friedkin 1973
Midsommar,Horror Mystery,A couple travels to Scandinavia to visit a rural hometown fabled midsummer festival but what begins as an idyllic retreat quickly devolves into a violent cult competition.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Ari Aster 2019
Nightcrawler,Thriller Crime,When Louis Bloom a con man desperate for work muscles into the world of LA freelance crime journalism he blurs the line between observer and participant.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Dan Gilroy 2014
The Sixth Sense,Mystery Thriller,A child psychologist starts treating a young boy who claims he can encounter and speak with dead spirits who walk around unnoticed.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,M Night Shyamalan 1999
Black Swan,Drama Thriller,A committed dancer wins the lead role in a production of Swan Lake only to find herself struggling to maintain her sanity as a dark rival emerges.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Darren Aronofsky 2010
Zodiac,Crime Mystery,Between 1968 and 1983 a San Francisco cartoonist becomes obsessively track-minded with tracking down the Zodiac Killer a serial killer terrorizing Northern California.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,David Fincher 2007
Knives Out,Comedy Mystery,A detective investigates the death of a patriarchal eccentric comic writer at his isolated estate amid a family of combative suspects.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Rian Johnson 2019
Gone Girl,Mystery Thriller,With his wife disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when suspected of foul play.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,David Fincher 2014
Sicario,Action Crime,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the lawless border area between the US and Mexico.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Denis Villeneuve 2015
Avatar,Sci-Fi Action,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the alien world he calls home.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,James Cameron 2009
The Terminator,Sci-Fi Action,A human soldier is sent from 2029 to 1984 to protect a young woman targeted for termination by a robotic killing machine sent from the future machine network.,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500,James Cameron 1984
Terminator 2 Judgment Day,Sci-Fi Action,A cyborg identical to the one who failed to kill Sarah Connor must now protect her ten-year-old son John from a more advanced liquid-metal shape-shifting killer.,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500,James Cameron 1991
The Martian,Sci-Fi Adventure,An astronaut becomes stranded on Mars after his crew assumes him dead and must rely on his ingenuity to find a way to signal Earth that he is alive.,https://images.unsplash.com/photo-1614728894747-a83421e2b9c9?w=500,Ridley Scott 2015
Spider-Man 2,Action Sci-Fi,Peter Parker is beset with troubles in his failing personal life while he battles a brilliant scientist named Doctor Octopus who has mechanical tentacles.,https://images.unsplash.com/photo-1635805737707-575885ab0820?w=500,Sam Raimi 2004
Iron Man,Action Sci-Fi,After being held captive in an Afghan cave billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil forces.,https://images.unsplash.com/photo-1608889174636-c6b73797536b?w=500,Jon Favreau 2008
The Avengers,Action Sci-Fi,Earth mightiest heroes must come together and learn to fight as a cohesive team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,https://images.unsplash.com/photo-1608889174636-c6b73797536b?w=500,Joss Whedon 2012
Guardians of the Galaxy,Action Sci-Fi,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe using a mysterious powerful orb.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,James Gunn 2014
Star Wars A New Hope,Sci-Fi Adventure,Luke Skywalker joins forces with a Jedi Master a cocky pilot a Wookiee and two droids to save the galaxy from the Empire world-destroying battle station.,https://images.unsplash.com/photo-1506703719100-a0f3a48c0f86?w=500,George Lucas 1977
Star Wars The Empire Strikes Back,Sci-Fi Adventure,After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued by Darth Vader.,https://images.unsplash.com/photo-1506703719100-a0f3a48c0f86?w=500,Irvin Kershner 1980
Ex Machina,Sci-Fi Mystery,A programmer at a huge internet-search giant wins a competition to spend a week at the private mountain estate of the company brilliant CEO to evaluate a humanlike AI.,https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=500,Alex Garland 2014
Minority Report,Sci-Fi Action,In a future world where the police utilize psychic technology to arrest murderers before they commit their crimes a top officer is accused of a future murder.,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500,Steven Spielberg 2002
District 9,Sci-Fi Action,An unmanaged alien refugee population forced to live in slum-like conditions on Earth finds an unexpected champion in a government agent exposed to their biotechnology.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,Neill Blomkamp 2009
Looper,Sci-Fi Action,In 2074 when the mob wants to get rid of someone the target is sent 30 years into the past where a hired gun called a looper handles the execution assignment.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Rian Johnson 2012
Her,Sci-Fi Romance,In a near future a lonely writer develops an unlikely passionate relationship with an advanced operating system designed to meet his every human need.,https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=500,Spike Jonze 2013
Superbad,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a liquor-filled party goes wildly wrong.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Greg Mottola 2007
The Nice Guys,Comedy Crime,In 1970s Los Angeles a mismatched pair of private eyes investigate the mysterious disappearance of a young girl and the death of a prominent adult film star.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Shane Black 2016
Zombieland,Comedy Horror,A shy student trying to reach his family in Ohio a gun-toting tough guy trying to find the last Twinkie and a pair of sisters join forces to travel across a zombie-filled America.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Ruben Fleischer 2009
Shaun of the Dead,Comedy Horror,A dull London electronics salesman and his lazy roommate must protect their friends and family from a sudden unexpected zombie apocalypse spreading over town.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Edgar Wright 2004
Hot Fuzz,Comedy Action,An overachieving London police officer is transferred to a quiet village where he struggles to adapt until a series of gruesome accidental deaths raise his suspicions.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Edgar Wright 2007
The Big Lebowski,Comedy Crime,The Dude Lebowski a laid-back LA slacker mistaken for a millionaire with the same name is dragged into a chaotic web of kidnapping debt and bowling rivalries.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Joel Coen 1998
Mean Girls,Comedy,Cady Heron is a hit with The Plastics the A-list girl clique at her new high school until she makes the mistake of falling for Aaron Samuels the ex-boyfriend of alpha Regina George.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Mark Waters 2004
Anchorman,Comedy,Ron Burgundy is San Diego top-rated news anchorman in the male-dominated 1970s broadcast world until an ambitious new female anchor challenges his status.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Adam McKay 2004
Step Brothers,Comedy,Two spoiled middle-aged men still living at home are forced to become roommates when their single parents marry causing complete household chaos.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Adam McKay 2008
Tropic Thunder,Comedy Action,Through a series of strange freak occurrences a group of self-absorbed actors shooting a big-budget war movie are forced to become real soldiers in the jungle.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Ben Stiller 2008
Borat,Comedy,A famous television journalist from Kazakhstan travels to the United States to make a documentary capturing real interactions with American citizens.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,Larry Charles 2006
The Notebook,Romance Drama,An epic love story told from a notebook following a young man and woman from different social classes who fall in love during a golden summer.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Nick Cassavetes 2004
About Time,Romance Sci-Fi,At the age of 21 Tim discovers he can travel through time and alter what happens in his own life so he decides to use his gift to win the heart of a woman.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Richard Curtis 2013
Pride and Prejudice,Romance Drama,Sparks fly when spirited Elizabeth Bennet meets the wealthy and proud Mr Darcy but he must overcome his pride and she her prejudice before they can unite.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Joe Wright 2005
Before Sunrise,Romance Drama,A young American man and a French woman meet on a train across Europe and wind up spending one magical evening walking the streets of Vienna together.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Richard Linklater 1995
500 Days of Summer,Romance Comedy,An offbeat romantic comedy about a woman who does not believe true love exists and the young greeting card writer who falls hopelessly in love with her.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Marc Webb 2009
Crazy Rich Asians,Romance Comedy,An Asian-American professor travels to Singapore to meet her boyfriend family and discovers they are one of the wealthiest dynasties in the country.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Jon M Chu 2018
The Fault in Our Stars,Romance Drama,Two witty teenage cancer patients meet at a support group and embark on a life-affirming journey to Amsterdam to meet a reclusive author.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Josh Boone 2014
A Star Is Born,Romance Drama,A seasoned musician helps a struggling young singer find fame even as age and his own personal demons send his own career into a downward spiral.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Bradley Cooper 2018
Titanic,Romance Drama,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R M S Titanic during its maiden voyage.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,James Cameron 1997
Casablanca,Romance Drama,In World War II Morocco a cynical American nightclub owner is torn between helping his former lover and her rebel husband escape the Nazi forces.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Michael Curtiz 1942
Toy Story,Animation Family,A cowboy doll is profoundly threatened and jealous when a fancy new spaceman figure becomes the top toy in a young boy bedroom collection.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,John Lasseter 1995
Up,Animation Adventure,78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with thousands of balloons inadvertently taking a young stowaway explorer along.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Pete Docter 2009
WALL-E,Animation Sci-Fi,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of all mankind.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Andrew Stanton 2008
Ratatouille,Animation Comedy,A talented rat who can cook forms an alliance with a clumsy young kitchen garbage boy at a famous Parisian restaurant to achieve his culinary dreams.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Brad Bird 2007
The Incredibles,Animation Action,A family of undercover superheroes are forced into action to save the world from an eccentric weapon designer seeking total destruction.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Brad Bird 2004
Monsters Inc,Animation Comedy,In order to power their city monsters have to scare human children but operations are thrown into chaos when a fearless little girl accidentally enters their world.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Pete Docter 2001
Shrek,Animation Comedy,An unsocial ogre finds his peaceful swamp overrun by fairy tale creatures and sets out on a journey with a talking donkey to rescue a princess.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Andrew Adamson 2001
How to Train Your Dragon,Animation Adventure,A hapless young Viking teenager aspires to hunt dragons but unexpectedly becomes the unlikely friend of a young rare dragon learning there is more to them.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Chris Sanders 2010
Zootopia,Animation Comedy,In a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a massive missing mammal conspiracy.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Byron Howard 2016
Spider-Man Across the Spider-Verse,Animation Action,Miles Morales catapults across the Multiverse where he encounters a team of Spider-People charged with protecting its very existence before clashing over a threat.,https://images.unsplash.com/photo-1635805737707-575885ab0820?w=500,Joaquim Dos Santos 2023
The Social Network,Biography Drama,Harvard student Mark Zuckerberg creates the social networking site that would become Facebook facing legal battles from co-founders and early investors.,https://images.unsplash.com/photo-1432888622747-4eb9a8efeb07?w=500,David Fincher 2010
The Wolf of Wall Street,Biography Crime,Based on the true story of Jordan Belfort from his rise to a wealthy stockbroker living the high life to his ultimate fall involving crime and corruption.,https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3?w=500,Martin Scorsese 2013
Schindler List,Biography Drama,In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution.,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500,Steven Spielberg 1993
Saving Private Ryan,War Drama,Following the Normandy Landings a group of US soldiers go behind enemy lines to retrieve a paratrooper whose brothers have all been killed in action.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Steven Spielberg 1998
1917,War Drama,Two young British soldiers during the First World War are given an impossible mission to deliver a message deep in enemy territory to stop a deadly ambush.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Sam Mendes 2019
Glory,War History,The inspiring true story of the Union Army first all-black volunteer infantry regiment in the American Civil War and their heroic battles.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Edward Zwick 1989
The Pianist,Biography Drama,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto during the brutal German occupation of World War II.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Roman Polanski 2002
Platoon,War Drama,A young soldier in the Vietnam War faces a moral crisis caught between two conflicting sergeants amid the horrors of frontline combat.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Oliver Stone 1986
Full Metal Jacket,War Drama,A pragmatic US Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from brutal boot camp training to urban street combat.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Stanley Kubrick 1987
Black Hawk Down,War Action,The heroic story of a group of elite US soldiers dropped into a hostile market square in Somalia who find themselves trapped in a fierce urban firefight.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,Ridley Scott 2001